<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.07.19	12:00:00	1.30257	1.30523	1.30200	1.30290	19263	0	11
2017.07.19	16:00:00	1.30290	1.30500	1.30121	1.30333	19770	0	11
2017.07.19	20:00:00	1.30333	1.30388	1.30158	1.30218	7202	0	11
2017.07.20	00:00:00	1.30183	1.30325	1.30164	1.30249	8733	0	11
2017.07.20	04:00:00	1.30247	1.30308	1.30146	1.30208	10954	0	11
2017.07.20	08:00:00	1.30210	1.30291	1.29714	1.29989	21844	0	11
2017.07.20	12:00:00	1.29988	1.30007	1.29323	1.29707	30534	0	11
2017.07.20	16:00:00	1.29707	1.29973	1.29604	1.29759	30910	0	11
2017.07.20	20:00:00	1.29759	1.29802	1.29665	1.29716	10697	0	11
2017.07.21	00:00:00	1.29728	1.29760	1.29529	1.29600	9929	0	11
2017.07.21	04:00:00	1.29601	1.29703	1.29534	1.29694	13168	0	11
2017.07.21	08:00:00	1.29693	1.30015	1.29692	1.29921	18813	0	11
2017.07.21	12:00:00	1.29921	1.30192	1.29900	1.29940	18256	0	11
2017.07.21	16:00:00	1.29941	1.30011	1.29585	1.29782	20276	0	11
2017.07.21	20:00:00	1.29781	1.30104	1.29771	1.29931	9595	0	11
2017.07.24	00:00:00	1.29865	1.30116	1.29865	1.30067	8796	0	11
2017.07.24	04:00:00	1.30066	1.30172	1.30025	1.30160	10085	0	11
2017.07.24	08:00:00	1.30160	1.30292	1.29879	1.30260	19196	0	11
2017.07.24	12:00:00	1.30261	1.30487	1.30261	1.30264	17676	0	11
2017.07.24	16:00:00	1.30264	1.30575	1.30130	1.30253	18288	0	11
2017.07.24	20:00:00	1.30253	1.30380	1.30189	1.30285	8687	0	11
2017.07.25	00:00:00	1.30285	1.30285	1.30137	1.30143	8434	0	11
2017.07.25	04:00:00	1.30145	1.30351	1.30145	1.30277	8495	0	11
2017.07.25	08:00:00	1.30277	1.30415	1.30157	1.30299	17035	0	11
2017.07.25	12:00:00	1.30299	1.30833	1.30070	1.30743	20602	0	11
2017.07.25	16:00:00	1.30742	1.30782	1.30313	1.30375	24251	0	11
2017.07.25	20:00:00	1.30374	1.30465	1.30245	1.30258	10458	0	11
2017.07.26	00:00:00	1.30268	1.30302	1.30205	1.30216	9381	0	11
2017.07.26	04:00:00	1.30216	1.30310	1.30149	1.30150	10784	0	11
2017.07.26	08:00:00	1.30150	1.30417	1.29988	1.30171	17987	0	11
2017.07.26	12:00:00	1.30172	1.30622	1.30091	1.30467	20024	0	11
2017.07.26	16:00:00	1.30468	1.30664	1.30322	1.30462	21518	0	11
2017.07.26	20:00:00	1.30463	1.31201	1.30438	1.31049	23989	0	11
2017.07.27	00:00:00	1.31049	1.31258	1.31049	1.31147	13094	0	11
2017.07.27	04:00:00	1.31146	1.31568	1.31055	1.31420	17320	0	11
2017.07.27	08:00:00	1.31419	1.31499	1.31235	1.31365	22957	0	11
2017.07.27	12:00:00	1.31366	1.31581	1.31336	1.31477	20971	0	11
2017.07.27	16:00:00	1.31482	1.31482	1.30513	1.30675	26243	0	11
2017.07.27	20:00:00	1.30675	1.30820	1.30579	1.30624	18167	0	11
2017.07.28	00:00:00	1.30629	1.30799	1.30612	1.30703	11195	0	11
2017.07.28	04:00:00	1.30705	1.30888	1.30686	1.30737	10236	0	11
2017.07.28	08:00:00	1.30737	1.30885	1.30683	1.30882	18495	0	11
2017.07.28	12:00:00	1.30881	1.31175	1.30736	1.30793	23813	0	11
2017.07.28	16:00:00	1.30794	1.31349	1.30699	1.31212	26192	0	11
2017.07.28	20:00:00	1.31213	1.31517	1.31205	1.31335	11638	0	11
2017.07.31	00:00:00	1.31254	1.31495	1.31244	1.31356	10751	0	11
2017.07.31	04:00:00	1.31355	1.31383	1.31204	1.31250	8623	0	11
2017.07.31	08:00:00	1.31251	1.31339	1.31008	1.31020	17094	0	11
2017.07.31	12:00:00	1.31020	1.31317	1.30967	1.31159	16390	0	11
2017.07.31	16:00:00	1.31159	1.31993	1.31136	1.31896	24798	0	11
2017.07.31	20:00:00	1.31895	1.32114	1.31756	1.32103	13582	0	11
2017.08.01	00:00:00	1.32100	1.32113	1.31901	1.32055	7928	0	11
2017.08.01	04:00:00	1.32057	1.32344	1.32001	1.32176	11770	0	11
2017.08.01	08:00:00	1.32175	1.32393	1.31989	1.32346	17501	0	11
2017.08.01	12:00:00	1.32347	1.32386	1.31964	1.32241	18558	0	11
2017.08.01	16:00:00	1.32241	1.32443	1.31972	1.32093	26128	0	11
2017.08.01	20:00:00	1.32094	1.32244	1.32014	1.32047	10640	0	11
2017.08.02	00:00:00	1.32055	1.32170	1.32015	1.32121	8638	0	11
2017.08.02	04:00:00	1.32125	1.32132	1.31905	1.32050	11855	0	11
2017.08.02	08:00:00	1.32050	1.32446	1.32028	1.32370	16535	0	11
2017.08.02	12:00:00	1.32369	1.32442	1.32148	1.32187	16891	0	11
2017.08.02	16:00:00	1.32189	1.32451	1.32137	1.32370	20311	0	11
2017.08.02	20:00:00	1.32370	1.32503	1.32202	1.32232	12085	0	11
2017.08.03	00:00:00	1.32212	1.32323	1.32157	1.32174	10091	0	11
2017.08.03	04:00:00	1.32174	1.32229	1.32077	1.32219	9151	0	11
2017.08.03	08:00:00	1.32219	1.32677	1.32168	1.32509	16952	0	11
2017.08.03	12:00:00	1.32510	1.32570	1.31117	1.31175	28838	0	11
2017.08.03	16:00:00	1.31175	1.31541	1.31120	1.31346	26264	0	11
2017.08.03	20:00:00	1.31340	1.31443	1.31215	1.31396	11667	0	11
2017.08.04	00:00:00	1.31358	1.31438	1.31334	1.31374	7473	0	11
2017.08.04	04:00:00	1.31375	1.31435	1.31278	1.31423	9302	0	11
2017.08.04	08:00:00	1.31422	1.31637	1.31317	1.31460	14374	0	11
2017.08.04	12:00:00	1.31460	1.31604	1.30777	1.30816	19481	0	11
2017.08.04	16:00:00	1.30816	1.30914	1.30244	1.30333	27525	0	11
2017.08.04	20:00:00	1.30333	1.30481	1.30233	1.30351	10304	0	11
2017.08.07	00:00:00	1.30343	1.30544	1.30339	1.30485	14660	0	11
2017.08.07	04:00:00	1.30484	1.30583	1.30440	1.30566	9328	0	11
2017.08.07	08:00:00	1.30566	1.30583	1.30355	1.30443	14738	0	11
2017.08.07	12:00:00	1.30442	1.30562	1.30185	1.30215	16798	0	11
2017.08.07	16:00:00	1.30216	1.30317	1.30133	1.30234	15687	0	11
2017.08.07	20:00:00	1.30233	1.30339	1.30214	1.30339	6274	0	11
2017.08.08	00:00:00	1.30327	1.30399	1.30313	1.30368	6944	0	11
2017.08.08	04:00:00	1.30369	1.30528	1.30355	1.30486	8522	0	11
2017.08.08	08:00:00	1.30488	1.30513	1.30308	1.30406	12782	0	11
2017.08.08	12:00:00	1.30407	1.30439	1.30073	1.30131	15173	0	11
2017.08.08	16:00:00	1.30132	1.30152	1.29519	1.29808	22666	0	11
2017.08.08	20:00:00	1.29807	1.29930	1.29757	1.29918	11819	0	11
2017.08.09	00:00:00	1.29883	1.29939	1.29677	1.29802	7306	0	11
2017.08.09	04:00:00	1.29803	1.29907	1.29745	1.29839	10113	0	11
2017.08.09	08:00:00	1.29839	1.30280	1.29791	1.30002	20297	0	11
2017.08.09	12:00:00	1.30005	1.30193	1.29789	1.29956	19918	0	11
2017.08.09	16:00:00	1.29957	1.30084	1.29696	1.29919	23120	0	11
2017.08.09	20:00:00	1.29919	1.30108	1.29862	1.30058	9130	0	11
2017.08.10	00:00:00	1.30061	1.30126	1.30013	1.30094	7642	0	11
2017.08.10	04:00:00	1.30095	1.30146	1.29893	1.29893	10477	0	11
2017.08.10	08:00:00	1.29893	1.29895	1.29508	1.29866	16344	0	11
2017.08.10	12:00:00	1.29865	1.30103	1.29761	1.30091	19738	0	11
2017.08.10	16:00:00	1.30088	1.30130	1.29701	1.29770	26238	0	11
2017.08.10	20:00:00	1.29770	1.29850	1.29706	1.29753	13146	0	11
2017.08.11	00:00:00	1.29759	1.29847	1.29719	1.29825	5355	0	11
2017.08.11	04:00:00	1.29825	1.29987	1.29738	1.29890	9907	0	11
2017.08.11	08:00:00	1.29890	1.29924	1.29674	1.29711	15853	0	11
2017.08.11	12:00:00	1.29710	1.30093	1.29505	1.29638	22192	0	11
2017.08.11	16:00:00	1.29638	1.30207	1.29389	1.30146	28133	0	11
2017.08.11	20:00:00	1.30148	1.30307	1.30059	1.30069	13588	0	11
2017.08.14	00:00:00	1.29906	1.30127	1.29818	1.30009	7685	0	11
2017.08.14	04:00:00	1.30011	1.30212	1.30000	1.30066	8165	0	11
2017.08.14	08:00:00	1.30067	1.30175	1.29771	1.29779	15637	0	11
2017.08.14	12:00:00	1.29780	1.29834	1.29627	1.29773	15863	0	11
2017.08.14	16:00:00	1.29773	1.29897	1.29559	1.29810	20244	0	11
2017.08.14	20:00:00	1.29811	1.29817	1.29572	1.29627	10499	0	11
2017.08.15	00:00:00	1.29627	1.29685	1.29530	1.29638	6818	0	11
2017.08.15	04:00:00	1.29640	1.29699	1.29603	1.29629	7885	0	11
2017.08.15	08:00:00	1.29628	1.29696	1.29098	1.29195	19223	0	11
2017.08.15	12:00:00	1.29195	1.29257	1.28459	1.28507	24059	0	11
2017.08.15	16:00:00	1.28507	1.28774	1.28456	1.28654	20314	0	11
2017.08.15	20:00:00	1.28651	1.28747	1.28608	1.28694	7724	0	11
2017.08.16	00:00:00	1.28670	1.28703	1.28605	1.28630	7912	0	11
2017.08.16	04:00:00	1.28631	1.28733	1.28590	1.28709	7872	0	11
2017.08.16	08:00:00	1.28710	1.29013	1.28409	1.28904	20666	0	11
2017.08.16	12:00:00	1.28898	1.29025	1.28593	1.28622	18231	0	11
2017.08.16	16:00:00	1.28621	1.28739	1.28420	1.28466	17674	0	11
2017.08.16	20:00:00	1.28467	1.28932	1.28463	1.28902	18483	0	11
2017.08.17	00:00:00	1.28904	1.28940	1.28835	1.28853	8241	0	11
2017.08.17	04:00:00	1.28853	1.29079	1.28842	1.29058	10202	0	11
2017.08.17	08:00:00	1.29059	1.29084	1.28795	1.28881	19077	0	11
2017.08.17	12:00:00	1.28886	1.28938	1.28519	1.28779	24791	0	11
2017.08.17	16:00:00	1.28781	1.28985	1.28728	1.28767	22488	0	11
2017.08.17	20:00:00	1.28770	1.28831	1.28655	1.28665	10647	0	11
2017.08.18	00:00:00	1.28675	1.28740	1.28622	1.28702	10258	0	11
2017.08.18	04:00:00	1.28701	1.28922	1.28658	1.28916	6906	0	11
2017.08.18	08:00:00	1.28915	1.29171	1.28807	1.29060	14907	0	11
2017.08.18	12:00:00	1.29060	1.29149	1.28718	1.28853	16838	0	11
2017.08.18	16:00:00	1.28852	1.28933	1.28311	1.28622	27109	0	11
2017.08.18	20:00:00	1.28623	1.28839	1.28558	1.28646	10206	0	11
2017.08.21	00:00:00	1.28542	1.28809	1.28513	1.28681	7351	0	11
2017.08.21	04:00:00	1.28681	1.28803	1.28640	1.28761	6077	0	11
2017.08.21	08:00:00	1.28756	1.28766	1.28497	1.28743	11063	0	11
2017.08.21	12:00:00	1.28744	1.28984	1.28682	1.28920	13935	0	11
2017.08.21	16:00:00	1.28920	1.29159	1.28810	1.29085	17421	0	11
2017.08.21	20:00:00	1.29085	1.29130	1.28930	1.28972	7228	0	11
2017.08.22	00:00:00	1.28982	1.29016	1.28928	1.29000	5993	0	11
2017.08.22	04:00:00	1.29000	1.29084	1.28810	1.28820	7153	0	11
2017.08.22	08:00:00	1.28818	1.28895	1.28414	1.28488	13711	0	11
2017.08.22	12:00:00	1.28489	1.28499	1.28106	1.28218	16514	0	11
2017.08.22	16:00:00	1.28220	1.28450	1.28103	1.28400	15916	0	11
2017.08.22	20:00:00	1.28400	1.28400	1.28147	1.28195	7329	0	11
2017.08.23	00:00:00	1.28213	1.28255	1.28064	1.28121	7201	0	11
2017.08.23	04:00:00	1.28120	1.28259	1.28070	1.28141	9692	0	11
2017.08.23	08:00:00	1.28141	1.28328	1.27912	1.27993	16337	0	11
2017.08.23	12:00:00	1.27994	1.28189	1.27906	1.27989	15608	0	11
2017.08.23	16:00:00	1.27990	1.28027	1.27792	1.27892	17679	0	11
2017.08.23	20:00:00	1.27892	1.28063	1.27887	1.28004	9446	0	11
2017.08.24	00:00:00	1.27962	1.28057	1.27894	1.27895	6610	0	11
2017.08.24	04:00:00	1.27894	1.27929	1.27779	1.27857	8309	0	11
2017.08.24	08:00:00	1.27857	1.28157	1.27736	1.28122	14825	0	11
2017.08.24	12:00:00	1.28122	1.28361	1.28056	1.28278	15760	0	11
2017.08.24	16:00:00	1.28280	1.28317	1.27901	1.27945	16963	0	11
2017.08.24	20:00:00	1.27942	1.28054	1.27932	1.27991	7732	0	11
2017.08.25	00:00:00	1.27988	1.28082	1.27935	1.28054	22868	0	11
2017.08.25	04:00:00	1.28051	1.28101	1.28015	1.28087	9099	0	11
2017.08.25	08:00:00	1.28088	1.28174	1.27938	1.28120	10933	0	11
2017.08.25	12:00:00	1.28118	1.28394	1.28118	1.28275	14890	0	11
2017.08.25	16:00:00	1.28281	1.28864	1.28122	1.28819	25533	0	11
2017.08.25	20:00:00	1.28822	1.28885	1.28669	1.28717	14463	0	11
2017.08.28	00:00:00	1.29189	1.29189	1.28887	1.28920	11881	0	11
2017.08.28	04:00:00	1.28921	1.28922	1.28769	1.28781	7303	0	11
2017.08.28	08:00:00	1.28781	1.29092	1.28730	1.29040	11305	0	11
2017.08.28	12:00:00	1.29040	1.29228	1.28950	1.29119	13438	0	11
2017.08.28	16:00:00	1.29119	1.29340	1.29061	1.29321	12866	0	11
2017.08.28	20:00:00	1.29320	1.29420	1.29251	1.29323	8727	0	11
